Crop,Season,SoilType,pH,FertilizerRecommendation
Potato,Zaid,Silty,5,DAP 25kg/acre
Mustard,Rabi,Silty,7.5,NPK 14:28:14
Potato,Kharif,Peaty,5.6,NPK 12:32:16
Tomato,Zaid,Silty,7.6,NPK 18:18:18
Potato,Rabi,Peaty,6.1,Urea 30kg/acre
Maize,Zaid,Loamy,6.3,DAP 25kg/acre
Maize,Zaid,Clay,7.9,NPK 16:16:16
Wheat,Kharif,Silty,6.5,NPK 14:28:14
Millet,Kharif,Sandy,6.4,NPK 18:18:18
Mustard,Zaid,Clay,5.2,Urea 30kg/acre
Barley,Kharif,Loamy,6.5,Urea 50kg/acre
Sugarcane,Rabi,Sandy,6.4,NPK 12:32:16
Maize,Kharif,Sandy,6.8,DAP 20kg/acre
Cabbage,Rabi,Peaty,7.6,NPK 14:28:14
Onion,Rabi,Peaty,6.9,NPK 14:28:14
Millet,Zaid,Peaty,7.4,NPK 12:32:16
Millet,Kharif,Clay,6.4,NPK 20:20:0
Sugarcane,Rabi,Peaty,6,Farmyard manure 10t/ha
Potato,Zaid,Peaty,7.3,Urea 40kg/acre
Mustard,Zaid,Sandy,7.6,NPK 18:18:18
Chili,Zaid,Peaty,6,NPK 10:20:10
Tomato,Zaid,Loamy,6.3,NPK 14:28:14
Maize,Kharif,Sandy,8,NPK 20:20:0
Cabbage,Rabi,Peaty,6.4,Urea 50kg/acre
Cotton,Rabi,Silty,7.9,NPK 14:28:14
Cabbage,Kharif,Loamy,7.6,NPK 18:18:18
Cabbage,Zaid,Peaty,5.3,DAP 25kg/acre
Barley,Kharif,Silty,5.7,NPK 20:20:0
Wheat,Zaid,Loamy,6.4,Urea 30kg/acre
Chili,Rabi,Sandy,6.4,NPK 15:15:15
Sugarcane,Rabi,Peaty,6.6,Urea 35kg/acre
Cauliflower,Kharif,Silty,5.7,Urea 35kg/acre
Chili,Kharif,Silty,6.8,NPK 10:20:10
Chili,Zaid,Sandy,6.1,NPK 12:32:16
Cauliflower,Zaid,Silty,5.8,NPK 16:16:16
Tomato,Zaid,Silty,5.3,Urea 40kg/acre
Onion,Rabi,Loamy,6.6,NPK 18:18:18
Cauliflower,Zaid,Peaty,5.1,Urea 35kg/acre
Tomato,Rabi,Loamy,7.2,NPK 20:20:0
Soybean,Rabi,Loamy,6.5,NPK 16:16:16
Cabbage,Zaid,Clay,6.1,Urea 35kg/acre
Wheat,Zaid,Peaty,7.4,NPK 20:20:0
Potato,Kharif,Sandy,6.4,DAP 20kg/acre
Wheat,Zaid,Silty,7,DAP 20kg/acre
Chili,Rabi,Peaty,7.6,DAP 20kg/acre
Barley,Rabi,Clay,7.6,Farmyard manure 10t/ha
Onion,Rabi,Silty,5.2,DAP 20kg/acre
Maize,Zaid,Sandy,6,Urea 35kg/acre
Barley,Kharif,Sandy,7.3,NPK 16:16:16
Soybean,Zaid,Silty,7.5,NPK 18:18:18
Chili,Zaid,Clay,5.3,NPK 14:28:14
Cotton,Rabi,Sandy,5.3,Urea 50kg/acre
Barley,Kharif,Clay,7.4,Urea 35kg/acre
Mustard,Rabi,Loamy,6.1,NPK 14:28:14
Sugarcane,Rabi,Sandy,6.7,DAP 20kg/acre
Onion,Kharif,Loamy,6.1,Urea 35kg/acre
Chili,Zaid,Clay,8,Farmyard manure 10t/ha
Potato,Kharif,Peaty,5.4,DAP 20kg/acre
Cotton,Kharif,Silty,7.7,DAP 20kg/acre
Cauliflower,Kharif,Sandy,7,NPK 16:16:16
Cauliflower,Rabi,Loamy,8,DAP 25kg/acre
Maize,Rabi,Sandy,5.6,NPK 18:18:18
Soybean,Zaid,Clay,6.6,NPK 14:28:14
Rice,Rabi,Silty,6.5,Urea 35kg/acre
Barley,Zaid,Loamy,7.1,Farmyard manure 10t/ha
Maize,Rabi,Silty,6.2,Urea 35kg/acre
Chili,Kharif,Clay,6.8,NPK 10:20:10
Rice,Rabi,Silty,7.2,NPK 10:20:10
Cotton,Rabi,Peaty,6.4,DAP 20kg/acre
Barley,Rabi,Loamy,7.2,NPK 14:28:14
Cotton,Rabi,Clay,5.8,Urea 30kg/acre
Millet,Zaid,Peaty,7.5,NPK 18:18:18
Wheat,Kharif,Loamy,6.2,Urea 40kg/acre
Onion,Rabi,Clay,5.4,NPK 18:18:18
Chili,Kharif,Silty,6.5,NPK 14:28:14
Maize,Zaid,Clay,6.5,NPK 18:18:18
Wheat,Zaid,Silty,7.5,NPK 18:18:18
Tomato,Kharif,Peaty,5.9,NPK 12:32:16
Soybean,Kharif,Sandy,5.6,Urea 35kg/acre
Maize,Kharif,Clay,7,NPK 16:16:16
Onion,Zaid,Sandy,6.7,NPK 15:15:15
Cauliflower,Zaid,Clay,7.7,NPK 12:32:16
Barley,Rabi,Silty,7.9,Urea 30kg/acre
Maize,Kharif,Peaty,7.7,NPK 20:20:0
Rice,Rabi,Sandy,5.1,NPK 20:20:0
Millet,Rabi,Clay,7,Urea 40kg/acre
Mustard,Kharif,Clay,7,Urea 30kg/acre
Cauliflower,Kharif,Peaty,6.1,DAP 20kg/acre
Cauliflower,Zaid,Sandy,6.3,DAP 25kg/acre
Rice,Rabi,Clay,6.8,Urea 40kg/acre
Chili,Zaid,Sandy,5.9,Urea 30kg/acre
Mustard,Kharif,Peaty,5.4,NPK 12:32:16
Rice,Rabi,Clay,6.2,NPK 20:20:0
Potato,Kharif,Clay,6.3,NPK 12:32:16
Cotton,Rabi,Clay,6.6,Urea 30kg/acre
Wheat,Zaid,Clay,6,DAP 25kg/acre
Millet,Rabi,Sandy,5.4,NPK 18:18:18
Onion,Rabi,Peaty,6.4,NPK 20:20:0
Maize,Zaid,Loamy,6.5,NPK 15:15:15
Sugarcane,Zaid,Silty,7.7,Urea 40kg/acre
Wheat,Kharif,Peaty,6.6,NPK 20:20:0
Sugarcane,Rabi,Clay,5.2,Urea 40kg/acre
Cauliflower,Rabi,Loamy,6,NPK 16:16:16
Sugarcane,Rabi,Sandy,7.5,Urea 50kg/acre
Rice,Zaid,Loamy,6.6,DAP 25kg/acre
Wheat,Rabi,Loamy,6.3,Urea 35kg/acre
Millet,Zaid,Peaty,6.2,NPK 14:28:14
Rice,Zaid,Clay,6.4,NPK 10:20:10
Maize,Rabi,Peaty,6,NPK 20:20:0
Millet,Rabi,Peaty,5.7,DAP 20kg/acre
Mustard,Kharif,Loamy,6.7,Urea 40kg/acre
Barley,Zaid,Loamy,5.2,NPK 18:18:18
Cauliflower,Zaid,Silty,6,NPK 20:20:0
Cotton,Rabi,Loamy,5.8,NPK 16:16:16
Wheat,Kharif,Loamy,5.8,DAP 20kg/acre
Tomato,Rabi,Peaty,5.8,DAP 25kg/acre
Sugarcane,Kharif,Silty,6.4,NPK 12:32:16
Wheat,Zaid,Sandy,6.4,DAP 25kg/acre
Potato,Rabi,Sandy,7,NPK 10:20:10
Maize,Zaid,Clay,6.3,NPK 20:20:0
Onion,Kharif,Silty,5.2,DAP 25kg/acre
Sugarcane,Zaid,Sandy,5.8,DAP 20kg/acre
Onion,Kharif,Loamy,7.5,NPK 12:32:16
Wheat,Rabi,Peaty,7.5,NPK 12:32:16
Barley,Kharif,Clay,5.7,NPK 14:28:14
Tomato,Kharif,Clay,6.6,Urea 30kg/acre
Wheat,Zaid,Silty,5.3,NPK 16:16:16
Onion,Rabi,Loamy,5.9,Farmyard manure 10t/ha
